date-time,headline,views,tags,
02/04/2005 - 13:14,"Saakashvili, Kocharyan Discuss Strategic Cooperation",5,,
02/04/2005 - 11:27,First-Ever NGO Fair Opens in Tbilisi,3,,
02/04/2005 - 13:35,Abkhaz PM Attacked Again,1,,
02/04/2005 - 21:59,Bounty Offered for Capturing Abkhaz PM’s Attackers,1,,
03/04/2005 - 15:16,Foreign Ministers of Secessionist Regions Meet in Moscow,1,,
03/04/2005 - 15:03,"Abkhaz Public Movements, Parties Condemn Attack Against PM",1,,
03/04/2005 - 21:22,NGO Forum Awards Civil Society Promoters,1,,
05/04/2005 - 16:29,"Georgian, CoE Officials Discuss Repatriation of Meskhetians",1,,
05/04/2005 - 13:57,Georgia Denies Entry to Russian Spy Plane,1,,
05/04/2005 - 17:14,Saakashvili Speaks of Stage-by-Stage Pullout of Russian Bases,1,,
05/04/2005 - 18:04,Reports: Putin Meets Abkhaz Leader,2,,
05/04/2005 - 19:02,“The Purpose we Serve” – First-Ever Forum of Civil Society Organizations,1,,
05/04/2005 - 19:25,Ex-Deputy PM of Adjara Becomes Regional Policy Chief,1,,
06/04/2005 - 11:20,Tbilisi Protests Russian Officials’ Visit to Sokhumi,2,,
06/04/2005 - 11:30,EU Delegation to Visit Russo-Georgian Border,1,,
06/04/2005 - 12:00,EU Envoy Visits Tskhinvali,1,,
06/04/2005 - 14:20,Defense Minister Denies Split in Government,1,,
06/04/2005 - 14:30,Defense Minister: New Rights Behind Civil Society’s Attack,1,,
06/04/2005 - 14:40,"Russia Accuses NATO of Linking CFE Ratification with Georgia, Moldova",2,,
06/04/2005 - 15:13,Civil Society Organizations Send Open Letter to Saakashvili,2,,
06/04/2005 - 15:50,"Solana Discussed Georgian Conflicts with Putin, Lavrov",2,,
06/04/2005 - 15:59,Civil Society Organizations Send Open Letter to Saakashvili,4,,
06/04/2005 - 16:07,"Bagapsh Hails Talks with Putin, Kokoity",1,,
06/04/2005 - 17:50,Construction of New Military Unit Launched in Western Georgia,1,,
06/04/2005 - 18:30,"Russia, Georgia Hold Consultations over Military Bases",1,,
06/04/2005 - 18:03,Tbilisi Expects No Breakthrough in Geneva Talks,4,,
06/04/2005 - 20:09,Defense Minister: New Rights Behind Civil Society’s Attack,1,,
07/04/2005 - 12:30,"EU Envoy Proposes Talks between Nogaideli, Kokoity",1,,
07/04/2005 - 10:50,UN-led Georgian-Abkhaz Talks Launched in Geneva,1,,
07/04/2005 - 12:51,Tskhinvali Protests Operation of Reservists’ Camp in Conflict Zone,1,,
07/04/2005 - 13:52,TV Reports on Georgia’s Position over Russian Bases,1,,
07/04/2005 - 16:17,"S.Ossetian Report: Kokoity, Putin Discussed Integration",1,,
07/04/2005 - 15:21,President of Georgian Football Federation Arrested,3,,
07/04/2005 - 16:44,"Georgia, Azerbaijan, Turkey Agree on Construction of Rail Link",1,,
07/04/2005 - 17:23,GUUAM Officials Prepare Leaders’ Summit,2,,
07/04/2005 - 18:18,Official: Russian Delegation Not Ready for ‘Serious Talks’,1,,
07/04/2005 - 18:33,Tbilisi Agrees to Re-Locate Troops in Abkhaz Conflict Zone,1,,
07/04/2005 - 18:08,"Saakashvili Ready to Meet Bagapsh, Kokoity Only in Tbilisi",2,,
07/04/2005 - 22:59,Bagapsh Rejects plan to Meet Saakashvili in Tbilisi,1,,
08/04/2005 - 10:49,Shamba: Abkhazia Ready to Discuss Economic Issues with Georgia,2,,
08/04/2005 - 12:02,Official Speaks of Reasons Behind Attack on Abkhaz PM,1,,
08/04/2005 - 14:10,MFA Refuses to Comment on Talks over Military Bases,1,,
11/04/2005 - 11:48,Abkhaz PM Visits Moscow,1,,
11/04/2005 - 13:43,Abkhaz Foreign Minister Speaks of Sokhumi’s Position,1,,
11/04/2005 - 12:25,U.S. Officials Visit Abkhazia,1,,
11/04/2005 - 17:28,"Experts, Officials Discuss Border Security Development",1,,
11/04/2005 - 16:13,Imereti Governor Appointed as Deputy Interior Minister,3,,
11/04/2005 - 17:52,Abkhaz Leader Pledges Tax Breaks for Russian Business,1,,
11/04/2005 - 18:47,Burjanadze to Focus on Border Security in Talks with EU Officials,1,,
12/04/2005 - 10:15,"Experts, Officials Discuss Anti-Torture Policy",1,,
12/04/2005 - 10:39,"Abkhaz Leader, U.S. Officials Discuss Conflict Resolution",1,,
12/04/2005 - 12:34,"Austrian, Georgian Foreign Ministers Discuss Cooperation",4,,
12/04/2005 - 12:41,Reports: Abkhaz Leader Visits Moscow,1,,
12/04/2005 - 15:34,Enlivened U.S. Diplomacy Compels Abkhaz Leadership to Visit Moscow,1,,
12/04/2005 - 14:04,"U.S. Official, Georgian Senior MP Discuss Abkhazia, Energy Security",1,,
12/04/2005 - 15:14,Saakashvili Ready to Meet Bagapsh in Tbilisi During U.S. President’s Visit,1,,
12/04/2005 - 17:56,Burjanadze Urges EU for Border Monitors,1,,
12/04/2005 - 19:15,Bagapsh Denies U.S. Diplomats Offered to Visit Tbilisi,1,,
12/04/2005 - 19:34,President Nominates Georgia’s Ambassador to Russia,1,,
13/04/2005 - 12:32,"HRW: Torture Persists, Despite Government’s Effort",1,,
12/04/2005 - 20:57,"ECHR: Georgia to Pay EUR 84,500 to 13 Chechens",1,,
13/04/2005 - 14:01,Government Moves to Cut Red Tape in Licensing,2,,
13/04/2005 - 11:43,"Russian Officials to Negotiate Military Bases, Framework Agreement in Tbilisi",1,,
13/04/2005 - 15:43,Russian Official: Disagreements Persist on Timeframe of Bases’ Pullout,0,,
13/04/2005 - 15:56,"Georgia Lifts Visa for EU, U.S. Japan, Israel, Canada",3,,
13/04/2005 - 16:06,New Governor of Samegrelo Appointed,3,,
13/04/2005 - 16:21,Saakashvili Calls for ‘Warming’ Relations with Russia,1,,
13/04/2005 - 18:17,"HRW: Torture Persists, Despite Government’s Effort",2,,
13/04/2005 - 18:30,Regional Activists Quit Ruling Party,1,,
14/04/2005 - 09:49,CoE Secretary General Visits Georgia,4,,
14/04/2005 - 10:11,Burjanadze Slams MFA for Recall of Ambassador to Benelux States,2,,
14/04/2005 - 11:14,Candidacies for Public Television Board of Trustees Nominated,1,,
14/04/2005 - 12:47,CIS Chief Executive Upbeat about CIS Despite Some Problems,1,,
14/04/2005 - 14:25,Reports: Armenian Students Protest at Georgian Embassy in Yerevan,12,,
14/04/2005 - 13:39,Large-Scale Military Trainings Planned in Abkhazia,3,,
14/04/2005 - 17:37,Candidacies for Public Television Board of Trustees Nominated,1,,
14/04/2005 - 16:31,Official: Moscow Offers ‘Concrete’ Proposals over Military Bases,1,,
14/04/2005 - 19:06,OSCE Approves Training Program for Georgian Border Guards,3,,
17/04/2005 - 14:41,Russia Says Georgia Responsible for the Failure of Talks,1,,
16/04/2005 - 19:15,Russian MFA Comments on Talks over Military Bases,1,,
17/04/2005 - 16:27,GUAM to Coordinate Euro-Atlantic Integration,1,,
18/04/2005 - 11:06,Sokhumi Holds Military Exercises,1,,
18/04/2005 - 14:49,Report: Georgia Proposes 2 Years for Russian Bases’ Pullout,1,,
18/04/2005 - 14:24,S.Ossetian Official Slams EU,1,,
18/04/2005 - 14:01,Georgia Says Russia Not Ready for Compromise on Military Bases,3,,
18/04/2005 - 15:09,Shamba: Abkhazia Stays in Talks to Avoid Peace Enforcement,1,,
18/04/2005 - 18:41,Greenoak Renews Construction of Power Plant in Adjara,5,,
18/04/2005 - 19:12,Burjanadze Denies Going into Opposition,1,,
18/04/2005 - 17:37,Burjanadze Wants MFA to Explain Recalling of Ambassador,4,,
19/04/2005 - 11:50,Georgian PM: Uzbekistan Rejects to Participate in GUUAM Summit,1,,
19/04/2005 - 12:15,Tskhinvali Says Tbilisi Imposes Economic Blockade on S.Ossetia,1,,
19/04/2005 - 13:33,Parliament Recieves Bomb Threat,1,,
19/04/2005 - 11:33,New Chief Peacekeeper Appointed in Abkhaz Conflict Zone,1,,
19/04/2005 - 13:02,Tbilisi Closes Down Reservist Camp in S.Ossetian Conflict Zone,1,,
19/04/2005 - 13:55,Newspaper: Su-27 Flanker Jets Take Part in Abkhazia Military Trainings,15,,
19/04/2005 - 13:56,Georgian Foreign Minister Visits Ukraine,3,,
19/04/2005 - 14:31,Burjanadze: Bomb Threat is a Provocation,2,,
19/04/2005 - 14:57,Liberty Institute Conducts a Workshop on the Law on the Freedom of Speech and Expression,2,,
19/04/2005 - 17:01,Abkhaz Officials at Odds over Visit in South Tyrol,4,,
19/04/2005 - 16:15,Russian MP Comments on U.S. President’s Visit to Georgia,1,,
19/04/2005 - 14:18,Ruling Party Activists Move into Opposition,2,,
19/04/2005 - 17:37,Defense Minister Speaks of Army Development Fund,1,,
19/04/2005 - 18:23,Report: France Leads EU Rejection of Georgia Border Monitoring,2,,
19/04/2005 - 18:27,Georgian PM to Visit S.Ossetia,1,,
20/04/2005 - 11:40,Breakaway Abkhazia Approves Budget,1,,
20/04/2005 - 11:15,Russia Warns NATO Not to Expend on CIS,1,,
20/04/2005 - 13:33,Government Hurries to Cancel Tax Arbitration Councils,2,,
20/04/2005 - 15:30,"Georgian, Ukrainian Foreign Ministers Discuss GUUAM",4,,
20/04/2005 - 18:51,MPs Debate over New Rule of CEC Composition,1,,
20/04/2005 - 16:59,Ukraine Ready to Send Observers to Russo-Georgian Border,4,,
20/04/2005 - 19:26,"Georgian Ambassadors to Russia, Benelux Appointed",1,,
20/04/2005 - 19:38,Tax Arbitration Councils Canceled,1,,
20/04/2005 - 21:42,Condoleezza Rice Speaks of U.S.-Russian-Georgian Ties,4,,
21/04/2005 - 10:51,Saakashvili Uncertain over Moscow Visit,3,,
21/04/2005 - 12:50,GUAM Foreign Ministers Meet in Chisinau,1,,
21/04/2005 - 13:17,Georgian Parliament Condemns Human Rights Violation in Belarus,2,,
22/04/2005 - 14:30,Sosnaliev: non-Active-Duty Soviet Officers Train Abkhaz Soldiers,2,,
22/04/2005 - 14:56,Mironov Speaks of Russia’s Position over Military Bases,1,,
22/04/2005 - 15:50,Parliament Ready to Ban Foreign Troops if Russians Pull Out,3,,
22/04/2005 - 15:59,Saakashvili: Russian Bases do not Serve the Region’s Security,0,,
22/04/2005 - 16:55,CoE Hails Closure of Military Camp in S.Ossetian Conflict Zone,1,,
22/04/2005 - 18:12,OSCE Mission holds expert meeting to galvanize a support system for the victims of trafficking in Georgia,1,,
22/04/2005 - 19:23,Chief Russian Senator Unveils Moscow’s Position over Military Bases,3,,
22/04/2005 - 18:16,GUAM Leaders Hail Chisinau Summit,1,,
22/04/2005 - 18:37,Marine Capital Becomes Owner of Georgian Ocean Shipping Co.,4,,
22/04/2005 - 19:27,"Georgia, UN Sign Assistance Agreement",2,,
22/04/2005 - 22:16,GUAM Leaders Pledge to Boost Regional Cooperation,5,,
23/04/2005 - 11:49,"Saakashvili, Aliyev Discuss Cooperation, Energy Projects",1,,
23/04/2005 - 15:15,U.S.-Funded Training Program Launched for Georgian Troops,1,,
23/04/2005 - 18:01,Parliament Approves Amendments to Election Code,1,,
23/04/2005 - 15:33,Parliament Elects Six Members to Public Television Board,2,,
24/04/2005 - 14:07,Georgian Foreign Minister Visits Moscow,3,,
23/04/2005 - 18:09,Parliament Elects Six Members to Public Television Board,1,,
24/04/2005 - 18:34,Armenians Mark ‘Genocide’ at Turkish Embassy in Tbilisi,4,,
24/04/2005 - 18:16,NATO Envoy Visits Georgia,1,,
25/04/2005 - 10:44,Iranian Vice-President Visits Georgia,1,,
25/04/2005 - 11:35,Zourabichvili: 2008 Acceptable for Russian Bases’ Closure,4,Salome Zurabishvili,
25/04/2005 - 13:57,The Problems of Civil Integration of Ethnic Minorities in Georgia,45,,
25/04/2005 - 13:41,Patarkatsishvili Speaks of Crack between Business and Government,0,,
25/04/2005 - 17:29,"Russia, Georgia Upbeat over Talks on Military Bases",4,,
25/04/2005 - 16:18,"Lavrov Quotes “Progress” in Talks, Zourabichvili Cautious",4,Salome Zurabishvili,
25/04/2005 - 17:16,"Georgia Nominates Ambassadors to OSCE, Switzerland",2,,
25/04/2005 - 17:39,"Russia, Georgia to Activate Talks over Border, Visa Issues",5,,
25/04/2005 - 17:42,Moscow Hails OSCE Training for Georgian Border Guards,1,,
25/04/2005 - 17:52,PM Confirms Georgia’s Interest in Iranian Gas Import,3,,
25/04/2005 - 20:53,"Floods, Landslides Strike Western Georgia",1,,
25/04/2005 - 23:47,"Tbilisi, Moscow Agree on Bases Pullout",7,,
25/04/2005 - 22:02,"Zourabichvili: We Agreed to Close Bases by January 1, 2008",2,Salome Zurabishvili,
26/04/2005 - 12:17,Russian Press on Talks over Military Bases,6,,
26/04/2005 - 12:26,Crisis Management Group to Tackle Floods in Western Georgia,1,,
26/04/2005 - 13:50,"Georgia, Iran Agree on Debt Rescheduling",2,,
27/04/2005 - 20:35,Saakashvili Offers Support to Flood-Stricken S.Ossetian Regions,1,,
26/04/2005 - 14:15,New Abkhaz Chief Prosecutor Appointed,2,,
27/04/2005 - 20:02,Authorities Prepare Relief Efforts for Regions Hit by Flood,2,,
27/04/2005 - 22:53,Putin Says Democracy not for Export,1,,
28/04/2005 - 11:57,U.S. Country Report on Terrorism over Georgia,1,,
28/04/2005 - 15:26,Bagapsh Concerned over Crime in Gali District,1,,
28/04/2005 - 10:48,Armenian Parliamentary Chairman Visits Georgia,1,,
28/04/2005 - 15:30,Burjanadze Comments on U.S. Terrorism Country Report on Georgia,2,,
28/04/2005 - 17:14,Economy Minister Visits Turkey,1,,
28/04/2005 - 18:36,S.Ossetia Rejects Tbilisi’s Offer to Help in Flood Relief,1,,
28/04/2005 - 19:01,Saakashvili Pledges Jobs to Locals in Akhalkalaki after Base Pullout,2,,
28/04/2005 - 18:42,Tskhinvali Accuses Tbilisi of Attempting to ‘Discredit’ S.Ossetia,0,,
28/04/2005 - 19:47,Foreign Minister Briefed Foreign Diplomats over Flood-Hit Regions,3,Salome Zurabishvili,
29/04/2005 - 11:04,Sokhumi Says No to UN Police Deployment in Gali,2,,
29/04/2005 - 09:59,Zourabichvili Comments on U.S. Terrorism Country Report on Georgia,2,Salome Zurabishvili,
29/04/2005 - 13:13,Georgia Launches Privatization of Gold Mining Companies,3,,
29/04/2005 - 14:02,Saakashvili Hails Armed Forces,1,,
29/04/2005 - 15:16,Tbilisi Hints it may Soften Stance over Abkhaz Railway,1,,
29/04/2005 - 14:33,Saakashvili: Georgia Ready to Lift Visa Regime with Russia,1,,
29/04/2005 - 17:41,Adjarian Finance Minister Resigns,3,,
30/04/2005 - 11:26,Bush to Address Georgians from Freedom Square,1,,
30/04/2005 - 13:37,Belarus Opposition Leader Seeks Meeting with Bush in Tbilisi,3,,
30/04/2005 - 14:37,Joint Commission to Study Armenian-Georgian Church Row,1,,
30/04/2005 - 20:46,Defense Minister: Georgia Gains Momentum towards NATO,1,,
30/04/2005 - 17:33,PM Visits Flood-Stricken Svaneti,1,,
01/05/2005 - 17:18,Report: Developments in Georgia were Challenging for OSCE,1,,
01/05/2005 - 19:45,President Visits Flood-Hit Svaneti,1,,
02/05/2005 - 13:27,Georgia Prepares for Bush’s Visit,6,,
01/05/2005 - 20:06,Georgians Celebrate Easter,1,,
02/05/2005 - 10:29,Iran to Spend EUR 20 mln on Boosting Trade with Georgia,3,,
02/05/2005 - 12:40,Georgia Receives International Aid for Flood Relief,3,Salome Zurabishvili,
02/05/2005 - 21:22,Government to Cut Number of Licenses,1,,
03/05/2005 - 10:29,"Experts, Officials Discuss Anti-Money Laundering Measures",1,,
03/05/2005 - 10:56,Annan: Abkhazia Peace Talks ‘Encouraging’,1,,
03/05/2005 - 11:58,Georgia Launches Privatization of Energy Facilities,2,,
03/05/2005 - 12:18,Saakashvili to Address Nation on Bush’s Upcoming Visit,1,,
03/05/2005 - 13:44,Energy Minister Visits U.S.,7,,
03/05/2005 - 16:21,Russian Energy Giant Eyes Power Grid in Adjara,2,,
03/05/2005 - 16:47,Weather Prevents Aid Delivery to Flood-Hit Svaneti,2,,
04/05/2005 - 15:16,British Instructors Train Georgian Servicemen in Command Skills,1,,
04/05/2005 - 15:55,Lithuanian Officials Visit Georgia to Study Border-Related Issues,3,Salome Zurabishvili,
04/05/2005 - 18:09,MP: Russian Defense Minister Obstructs Deal on Military Bases,3,Salome Zurabishvili,
04/05/2005 - 17:50,Draft Law on Classified Documents Sparks Controversy,1,,
05/05/2005 - 10:31,"Zourabichvili, Lavrov Hold Phone Talks",5,Salome Zurabishvili,
05/05/2005 - 10:54,U.S. Official Speaks of Details of Bush’s Visit,1,,
05/05/2005 - 12:53,Georgia Bids for Asian Development Bank Membership,1,,
05/05/2005 - 14:08,UN Official Briefed Security Council over Abkhazia,1,,
05/05/2005 - 14:35,"Bush to Emphasize on Georgia’s Democracy, European Integration, Conflicts",1,,
05/05/2005 - 16:27,Zourabichvili to Visit Moscow to Finalize Accord on Bases,2,Salome Zurabishvili,
05/05/2005 - 17:20,Georgia Accepts Privatization Bids for Three Major Enterprises,2,,
05/05/2005 - 18:49,Uzbekistan Officially Quits GUUAM,1,,
05/05/2005 - 20:51,Mines Found at Georgian-Turkish Border,3,,
06/05/2005 - 10:31,Adjara Marks Anniversary of Peaceful Revolution,1,,
06/05/2005 - 11:53,Russian MFA Articulates South Ossetian Stance over Peace Plan,1,,
06/05/2005 - 12:34,Georgian Defense Minister Visits Ukraine,1,,
06/05/2005 - 12:58,Bush to Discuss Russian Military Bases in Georgia with Putin,1,,
06/05/2005 - 14:56,Georgian State Minister Comments on S.Ossetia’s Position Voiced by Russian MFA,0,,
06/05/2005 - 13:55,Georgian Foreign Minister Visits Moscow to Finalize Accord on Russian Bases Withdrawal,4,Salome Zurabishvili,
06/05/2005 - 15:30,Reports: Moscow Objected Bush’s Visits to Latvia and Georgia,1,,
06/05/2005 - 15:53,Tbilisi Renews Demilitarization of South Ossetian Conflict Zone,1,,
06/05/2005 - 23:45,"Georgian Leader Boycotts Moscow Visits, as Tbilisi, Moscow Fail to Agree on Bases",4,Salome Zurabishvili,
06/05/2005 - 17:50,"Georgian, Lithuanian Presidents Hold Phone Talks",1,,
06/05/2005 - 21:25,Russia Refuses to Pull Out Bases by 2008,4,Salome Zurabishvili,
06/05/2005 - 19:30,Saakashvili: No Bargaining over Russian Military Bases,1,,
07/05/2005 - 00:32,Russian MFA Comments on Saakashvili’s Refusal to Visit Moscow,4,Salome Zurabishvili,
07/05/2005 - 01:48,Moscow Denies It Opposed Bush’s Visit to Latvia and Georgia,1,,
07/05/2005 - 15:44,UN Envoy Meets Abkhaz Leadership,1,,
07/05/2005 - 20:25,Tbilisi Tells Moscow to Remove ‘Soviet Legacy’ from Georgia,4,Salome Zurabishvili,
07/05/2005 - 16:15,U.S. Links Ratification of Adapted CFE with Pull Out of Russian Bases,1,,
07/05/2005 - 18:11,Georgian National Security Council Discusses Russian Bases,1,,
07/05/2005 - 19:11,Zourabichvili Briefs Foreign Diplomats over Russian Bases,2,Salome Zurabishvili,
07/05/2005 - 19:41,Saakashvili Says ‘No’ to Moscow Visit,0,,
08/05/2005 - 13:37,Bush: U.S. Proud to Call Georgia its Partner,2,,
09/05/2005 - 01:08,Bush Arrives in Georgia to Encourage ‘New Democracy’,1,,
08/05/2005 - 18:45,Putin Speaks of NATO’s Relations with Former Soviet States,2,,
09/05/2005 - 09:39,"Saakashvili Speaks of Russian Bases, WWII ‘Immoral Deals’",3,,
09/05/2005 - 12:16,BTC to Start Oil Pumping in May,2,,
10/05/2005 - 12:45,"Bush, Saakashvili Discuss Reforms, NATO, Conflicts",1,,
10/05/2005 - 14:23,Bush: Conflict Resolution Essential for Georgia’s European Integration,1,,
10/05/2005 - 14:51,Bush: Georgia’s Example a Huge Contribution to Democracy,2,,
10/05/2005 - 16:41,Bagapsh: Abkhazia Status Not Negotiable,1,,
10/05/2005 - 20:16,‘Beacon of Liberty’ Vows to Solve Conflicts Peacefully,13,,
10/05/2005 - 17:13,"Saakashvili: Georgia, U.S. Partners in Spreading Democracy",3,,
10/05/2005 - 17:04,Governor of Guria Dies in Car Accident,3,,
10/05/2005 - 18:38,Opposition New Rights Leader Speaks of Bush’s Talks with MPs,1,,
10/05/2005 - 18:24,Opposition Rally Turns Into Fist-Fight,2,,
11/05/2005 - 00:35,Burjanadze Discusses Energy Issues with Bush,1,,
11/05/2005 - 11:16,Abkhaz Leader Turns Down Security Chief’s Resignation,1,,
11/05/2005 - 11:56,Alleged Hand Grenade Found on Freedom Square After Bush Departed,2,,
11/05/2005 - 14:40,Rice Plans to Visit Georgia in 2005,4,Salome Zurabishvili,
11/05/2005 - 14:12,Interior Minister Confirms Dud Grenade was Found,1,,
11/05/2005 - 13:53,Chief of Staff Visits Brussels,1,,
11/05/2005 - 15:09,"Tbilisi, Sokhumi to Discuss Security Issues at UN-led Talks",1,,
11/05/2005 - 15:42,Open Competition Announced for the CEC Posts,1,,
11/05/2005 - 20:58,Russia Reiterates Four Years are Needed for Bases’ Closure,0,,
11/05/2005 - 23:59,White House: Bush was not in Danger in Tbilisi,3,,
11/05/2005 - 21:11,U.S. Official: Reported Grenade Posed No Threat to Bush,1,,
11/05/2005 - 18:37,"Sokhumi, Tskhinvali Hail Bush’s Calls to Solve Conflicts Peacefully",1,,
12/05/2005 - 11:14,Burjanadze Visits Latvia,1,,
12/05/2005 - 10:50,Norway Grants USD 10 mln to UNDP South Caucasus Projects,4,,
12/05/2005 - 13:02,Burjanadze Speaks Tough on Russian Bases,1,,
12/05/2005 - 13:25,"Rice Downplays Grenade Incident, Speaks of Tbilisi Impressions",1,,
12/05/2005 - 16:18,"Abkhaz, Georgian Sides Meet in Gali to Discuss Security Issues",1,,
12/05/2005 - 17:12,Moscow Says Burjanadze’s Statement on Bases is ‘Blackmail’,1,,
12/05/2005 - 16:19,CoE Pledges Assistance to Flood-Hit Regions of Georgia,1,,
12/05/2005 - 17:28,Russia Security Chief: Western Spies Plot New Velvet Revolutions in CIS,1,,
12/05/2005 - 18:47,Lavrov Threatens to Pull out from Talks with Georgia,2,,
12/05/2005 - 21:43,OSCE Monitors Briefly Detained in South Ossetian Conflict Zone,1,,
12/05/2005 - 19:13,Lavrov: Moscow will not Yield to ‘Blackmail’ over Bases,2,,
13/05/2005 - 11:57,"Saakashvili, Aliyev Hold Phone Talks",2,,
13/05/2005 - 12:33,Development of Civil Society Organizations in Georgia,14,,
13/05/2005 - 11:22,Moscow Accuses Tbilisi of Fueling Anti-Russian Hysteria,1,,
13/05/2005 - 12:58,Georgia’s Hard Line Stance on Bases Angers Russia,0,,
16/05/2005 - 13:00,Georgian Officials to Discuss IPAP at NATO HQ,1,,
16/05/2005 - 13:12,Okruashvili: Tbilisi is ‘Liberal’ over Bases for Now,3,Salome Zurabishvili,
16/05/2005 - 11:30,Abkhaz Leader Visits Moscow,1,,
16/05/2005 - 19:29,"USD 10,000 Bounty Offered for Information over Dud Grenade",1,,
16/05/2005 - 16:45,"Burjanadze Speaks of Russian, Georgian Positions over Bases",1,,
16/05/2005 - 22:51,Lavrov Comments on Bases,7,Salome Zurabishvili,
16/05/2005 - 18:50,NBG President Speaks Against Russian Banks in Abkhazia,1,,
16/05/2005 - 17:38,Bagapsh Offers Russia to Deploy Bases in Abkhazia,1,,
17/05/2005 - 12:44,Georgia Accepts Privatization Bids for Energy Facilities,1,,
17/05/2005 - 13:50,International Consortium to Reconstruct Tbilisi Airport,2,,
17/05/2005 - 14:22,Opposition MP Assaulted,1,,
17/05/2005 - 15:54,Saakashvili: No Need for ‘Loud Statements’ as Bases Row Solved,4,Salome Zurabishvili,
17/05/2005 - 16:51,Saakashvili: Notorious Retired Russian General in S.Ossetia,1,,
17/05/2005 - 23:11,"Tbilisi Cautiously Optimistic, as Talks over Bases Continue",3,Salome Zurabishvili,
17/05/2005 - 17:44,MPs Cautious over Proposal to Sell Farm Land Near Border,1,,
17/05/2005 - 17:21,Georgian President Comments on Belarus,2,,
17/05/2005 - 23:48,Russian MFA: Moscow Agrees to Close Bases ‘Sometime in 2008’,1,,
18/05/2005 - 11:15,U.S. President Nominates New Ambassador to Georgia,1,,
18/05/2005 - 12:10,Moscow Agrees to Hold Talks over Bases in Tbilisi,1,,
18/05/2005 - 14:54,FBI Official: ‘Live Grenade’ Posed Threat to Presidents,1,,
18/05/2005 - 16:01,Burjanadze Comments on U.S. Ambassadorial Nominee,1,,
18/05/2005 - 17:46,Government Downplays Airport Tender Row,1,,
18/05/2005 - 18:43,"MPs, MFA at Odds over Recall of Ambassador",1,,
18/05/2005 - 18:21,Tskhinvali Denies Retired Russian General is in S.Ossetia,1,,
19/05/2005 - 12:49,NATO Hails Georgia’s IPAP Implementation,3,Salome Zurabishvili,
18/05/2005 - 19:16,NATO Reviews Georgia’s IPAP,4,Salome Zurabishvili,
19/05/2005 - 11:23,Scheffer Notes Progress in Georgia’s IPAP Implementation,1,,
19/05/2005 - 10:58,Bush: Georgia Has Will to Succeed,2,,
19/05/2005 - 13:24,Tbilisi Protests Visit by Belarus Officials to Abkhazia,3,,
19/05/2005 - 14:32,"Russia to Redeploy Hardware from Georgia to Russia, Armenia",2,,
19/05/2005 - 16:08,GUAM to Change Name,1,,
19/05/2005 - 16:18,Abduction Reported in Gali District,1,,
19/05/2005 - 17:23,New Ambassadorial Nomination Sparks Controversy in Parliament,8,Salome Zurabishvili,
19/05/2005 - 18:54,Local Democracy Development Program – For and With people,1,,
20/05/2005 - 11:24,Georgia Rotates Troops in Iraq,1,,
19/05/2005 - 21:46,Abkhaz Leaders Hold Talks with Russian Officials in Moscow,1,,
20/05/2005 - 12:20,Georgia Appoints New Ambassador to OSCE,4,,
21/05/2005 - 13:29,Analyst: Armenian-Modified Grenade thrown During Bush Address,2,,
21/05/2005 - 13:01,Parliament Approves Increase of Budgetary Expenditures,1,,
21/05/2005 - 15:25,Parliament Lifts Ban on Sale of Farm Land Near Border,1,,
21/05/2005 - 21:46,"Deputy Foreign Minister Resigns, Slams Ruling Party",5,Salome Zurabishvili,
22/05/2005 - 21:57,Zourabichvili Faces Tough Parliamentary Hearing,9,Salome Zurabishvili,
22/05/2005 - 18:36,Chief of State Forensic Department Shot Dead,4,,
22/05/2005 - 17:34,Russian Embassy Condemns Arrest of Russian Servicemen,1,,
23/05/2005 - 10:53,"Tbilisi, Moscow Resume Talks on Military Bases",1,,
23/05/2005 - 13:40,Zourabichvili’s Parliamentary Hearing Shortly Postponed,4,Salome Zurabishvili,
23/05/2005 - 14:55,US-Funded Customs Facility Opened at Azeri Border,1,,
23/05/2005 - 15:35,Moscow Agrees to Close Bases ‘Within 2008’,2,,
23/05/2005 - 17:38,Abkhaz Government-in-Exile Appoints Envoy in Kodori Gorge,1,,
23/05/2005 - 17:26,"Two Opposition Parties Formally Merge, Call Others to Unite",1,,
23/05/2005 - 18:01,Burjanadze Denies Split with Ruling Party Leaders,1,,
23/05/2005 - 18:31,Putin: Military Presence in Georgia not Important for Russia,1,,
23/05/2005 - 22:08,Putin Speaks Bittersweetly of Pullout,2,,
23/05/2005 - 18:47,Chief Georgian Negotiator Cites Progress in Talks over Bases,1,,
23/05/2005 - 21:23,Zourabichvili Briefs MPs over Talks on Bases,2,Salome Zurabishvili,
24/05/2005 - 00:16,Zhvania’s Brother Says Late PM was Killed,4,,
24/05/2005 - 10:24,Zourabichvili: Talks on Bases Moving Towards Conclusion,2,Salome Zurabishvili,
24/05/2005 - 10:29,Saakashvili to Visit Azerbaijan,1,,
24/05/2005 - 12:20,Baku Concerned over Moscow’s Plan to Relocate Part of Arms from Georgia to Armenia,2,,
24/05/2005 - 12:42,Opposition MP Speaks Against Joint Anti-Terrorist Center,6,Salome Zurabishvili,
24/05/2005 - 17:47,JCC to Meet in Vladikavkaz to Discuss Demilitarization,1,,
24/05/2005 - 18:45,Georgian Soldier Injured in Iraq,1,,
